Transaction_ID,Date,Currency,Amount,Transaction_Type,Counterparty,Counterparty_Account,Bank_Name,Bank_Account,Source
5373426189,13-03-2025,INA,40707.41,DEBIT,,GB57PCOL74549789591402,ICICI Bank,GB23ORUG00458755524443,MT940
6618764602,14-03-2025,JPY,48277.06,CREDIT,Ryani Inc,GB63XMZL77776802636985,HDFC Bank,GB35OBYJ87668036062717,MT940
7405959189,17-03-2025,JPY,42386.2,CREDIT,,GB36JYGZ01404913208798,Syndicate Bank,GB71RBVT08381489729858,MT940
5262551692,24-02-2025,GBP,13222.24,CREDIT,Parrish LLC,GB71KTBH78267726680194,HDFC Bank,GB56ZXYT03957841086492,MT940
5963038972,18-02-2025,EUR,33901.29,CREDIT,Fernandez-Bradley,GB02UHTW70645467995183,Syndicate Bank,GB36SKEN48657855233547,MT940
7970213302,02-03-2025,GBP,25172.14,DEBIT,"Johnson, Ferguson and Sims",GB95UUQZ59972417548795,Syndicate Bank,GB45EAPN26104364646947,MT940
5032195797,25-02-2025,INR,44197.36,DEBIT,Quinn-Simmons,GB07YEGF85657588898648,Syndicate Bank,GB21SLZZ93635170221623,MT940
1638918823,18-03-2025,INR,48410.28,DEBIT,"Wagner, Schmidt and Bender",GB25CGGU67008654707711,Syndicate Bank,GB25SOBQ26609149349591,MT940
6627483985,14-03-2025,USD,25391.92,CREDIT,Martinez Inc,GB68JHPD06059542302844,Syndicate Bank,GB34TNDN45802719133160,MT940
4102119749,27-02-2025,INR,21127.51,DEBIT,"Farley, Gardner and Torres",GB03WVGS34433820386854,ICICI Bank,GB72GEVK95903170356237,MT940
2562234592,07-03-2025,USD,26866.74,DEBIT,West-Rowe,GB12DWMG32523717387396,HDFC Bank,GB22DYFH43600778231381,MT940
7299493850,22-02-2025,EUR,45778.86,CREDIT,Martin Ltd,GB35BGCA66699901663667,ICICI Bank,GB30EXNJ80990162420741,MT940
9519302288,17-03-2025,GBP,41934.42,DEBIT,Gonzalez and Sons,GB61QMSG07122892672304,ICICI Bank,GB40KHJZ61868257950772,MT940
9550977851,18-02-2025,JPY,23644.71,DEBIT,"Rodriguez, Hayes and Rivera",GB84IYZA92097037145059,HDFC Bank,GB41PTZH58800098905404,MT940
6954692259,16-03-2025,USD,10464.98,DEBIT,"Clark, Wilson and Carter",GB70MJTX80299455564938,Syndicate Bank,GB75LCDX37830912488726,MT940
2015617240,17-02-2025,INR,4433.47,CREDIT,Lang Group,GB18SQOM87866900509813,ICICI Bank,GB26NBME14651540874328,MT940
7530835515,14-03-2025,JPY,36582.67,DEBIT,Robinson-Smith,GB96YLEJ61458834156773,ICICI Bank,GB54JXVZ84381668400806,MT940
8349564650,06-03-2025,EUR,41178.49,CREDIT,Lewis-Richards,GB86OIBB49656848761307,ICICI Bank,GB62TXRT01850751018152,MT940
6468331073,19-02-2025,INR,34306.03,CREDIT,"Davidson, Burns and Hall",GB09VJUP00397111478018,HDFC Bank,GB14PZEW09921803294046,MT940
7545001353,14-03-2025,EUR,10508.21,DEBIT,Smith Group,GB77DDKA58313444431446,ICICI Bank,GB31BEJU43737596340716,MT940
3133984697,12-03-2025,JPY,38268.01,DEBIT,Howe PLC,GB07BSQQ05512380423350,HDFC Bank,GB40ESDM68757099923092,MT940
9664236370,21-02-2025,INR,30000.39,DEBIT,Gordon-Lopez,GB04KNVQ74854656617244,HDFC Bank,GB44XVLC19500311300147,MT940
8649717349,18-02-2025,EUR,39209.36,DEBIT,Miller Inc,GB67MMHI58764040357701,ICICI Bank,GB06CGEO58996011103051,MT940
4846385785,23-02-2025,INR,1470.61,DEBIT,Miller and Sons,GB74ZUDH13440031404353,Syndicate Bank,GB89GXCA09539429636261,MT940
6388800455,18-03-2025,USD,19131.49,DEBIT,Gibbs-Walker,GB95WLYN55378477151557,HDFC Bank,GB85RBNZ63614623511406,MT940
6719487071,05-03-2025,JPY,18247.84,CREDIT,Smith-Taylor,GB47EIAP43530207332221,HDFC Bank,GB98MSIG89493591479323,MT940
9105386876,24-02-2025,GBP,40310.2,CREDIT,"Grant, Brown and Simmons",GB21WPRZ10482612059324,Syndicate Bank,GB57SDMK32990369937947,MT940
1632818010,02-03-2025,INR,47621.71,CREDIT,Bates Ltd,GB94JMFB74168452918102,ICICI Bank,GB44ZSVS00310967153377,MT940
8611571434,17-02-2025,USD,43940.77,DEBIT,"Callahan, Baker and Buchanan",GB43SRKZ20530353355337,HDFC Bank,GB76PPWO60892439134940,MT940
2383680519,23-02-2025,EUR,17647.97,CREDIT,Jensen Group,GB95WWUF26622669495307,ICICI Bank,GB47XNII23281540212205,MT940
8723688761,13-03-2025,INR,9420,DEBIT,"Morton, Singh and Taylor",GB22PQBR83651459453967,Syndicate Bank,GB85VNDJ81562280052551,MT940
1729082677,18-03-2025,JPY,43280.1,DEBIT,"Cole, Williams and Maddox",GB92ZAZU50139371052305,ICICI Bank,GB73NTFT81429359357192,MT940
3147459846,07-03-2025,GBP,29397.91,CREDIT,Doyle-Marshall,GB08TXQB43653360886179,Syndicate Bank,GB73AUFJ40510635557036,MT940
6258777986,12-03-2025,INR,15884.39,CREDIT,Thompson Group,GB48STOB33297666345602,Syndicate Bank,GB95CVHG71924985484998,MT940
7178558094,21-02-2025,JPY,39858.21,CREDIT,Weeks-Ramos,GB63IGXB78830978802671,HDFC Bank,GB83ILVO62145556166127,MT940
2708246053,22-02-2025,GBP,19140.41,DEBIT,Baker and Sons,GB20SHVW77158252402690,ICICI Bank,GB10TRBR20913253554195,MT940
6874091078,09-03-2025,JPY,39150.95,CREDIT,Bush-Curry,GB71JHXB94264387287649,Syndicate Bank,GB25HSJS34419637378210,MT940
5620115680,11-03-2025,INR,46301.2,DEBIT,"Torres, Henry and Chambers",GB54BYEN56874677562665,Syndicate Bank,GB14OKJX81541161278580,MT940
1298258991,17-02-2025,JPY,4707.65,DEBIT,Rodriguez-Evans,GB82RFYB95215091777808,Syndicate Bank,GB75BBUH77466421155818,MT940
9991371603,12-03-2025,JPY,22134.65,DEBIT,Hays PLC,GB49SHYK26607040516294,ICICI Bank,GB49PQYB79734956155853,MT940
6639007067,05-03-2025,USD,10157.16,DEBIT,Wolfe PLC,GB66PVWH26488843779006,Syndicate Bank,GB70GLVF45765819004435,MT940
8166943407,15-03-2025,INR,8086.67,CREDIT,Diaz Ltd,GB61HHHO28574478898896,Syndicate Bank,GB74EZOO51451272060860,MT940
5249972344,06-03-2025,GBP,20193.2,DEBIT,Jenkins and Sons,GB75NIKL48893531998206,HDFC Bank,GB69RFLA74113032558517,MT940
6838870338,02-03-2025,INR,37947.96,CREDIT,Morrow Ltd,GB87RLWO95233506572063,Syndicate Bank,GB65VJGI84938129083853,MT940
6147923086,13-03-2025,EUR,28793.32,DEBIT,House-Martinez,GB61DAAZ27790005576309,ICICI Bank,GB68AOVV03190825275445,MT940
7098844883,12-03-2025,USD,6428.07,CREDIT,Fowler Inc,GB65EJVO38683482555832,ICICI Bank,GB38ZKQP67341416024877,MT940
2552357857,07-03-2025,USD,37672.97,DEBIT,"Cook, Mcmahon and Harris",GB35WVTH66928961714570,ICICI Bank,GB18PKIG24463569008104,MT940
5349473545,13-03-2025,GBP,12193.82,DEBIT,Wilson PLC,GB65DRUI00521177851740,ICICI Bank,GB43AIOQ15282934210123,MT940
6865830950,12-03-2025,INR,5178.62,CREDIT,Bentley and Sons,GB64HFZI03059729885082,HDFC Bank,GB58TZPY73595593555503,MT940
2671587089,09-03-2025,JPY,23695,DEBIT,"Gardner, Stanley and Hurley",GB57FWFI40815991793417,Syndicate Bank,GB69GGGH38608397156373,MT940
6849948501,09-03-2025,USD,16744.48,DEBIT,"Espinoza, Villa and Gutierrez",GB22PUAF42943688439084,ICICI Bank,GB44JGAB26587526301789,MT940
7610566959,27-02-2025,EUR,3473.04,CREDIT,Rangel-Martinez,GB04PHQD38217918062302,HDFC Bank,GB72XZNB05429119582218,MT940
5593834128,04-03-2025,USD,47261.73,DEBIT,Garrett-Harris,GB46VPSJ55116337126822,ICICI Bank,GB89HPHV18807838762506,MT940
3849002869,05-03-2025,JPY,14749.36,DEBIT,Young Ltd,GB27SRGW16742939490633,Syndicate Bank,GB52MLEX04689012662896,MT940
5494381177,19-02-2025,USD,20967.52,DEBIT,Holden-Watson,GB44DSRH45202687243269,ICICI Bank,GB62VNAW97501908947416,MT940
3555228237,02-03-2025,USD,41224.51,CREDIT,Johnson-Martinez,GB98KJVJ68252472172535,Syndicate Bank,GB71GRNR71921683529267,MT940
4124968238,24-02-2025,JPY,24599.61,CREDIT,Guerra and Sons,GB63CRFT64826634676325,ICICI Bank,GB31EDAI17879430441189,MT940
1203676612,14-03-2025,EUR,45506.36,CREDIT,Mosley LLC,GB54LXWJ49523478288165,HDFC Bank,GB56SDRU28666706796167,MT940
5210124035,15-03-2025,EUR,37934.82,DEBIT,Horn LLC,GB26CUFH88211083322880,Syndicate Bank,GB62CAHY21237499413840,MT940
2064223559,11-03-2025,INR,1351.3,CREDIT,"Conway, Russell and Singh",GB03FDAV91939955821238,ICICI Bank,GB08QYBZ07976361387199,MT940
9124148971,14-03-2025,EUR,36223.01,DEBIT,"Freeman, Barnes and Keller",GB72WUJO22252723564462,ICICI Bank,GB36EHEE26052435886795,MT940
1041924896,27-02-2025,GBP,34102.33,CREDIT,Taylor-Mccarty,GB71PTKY78500996591960,ICICI Bank,GB66RSAZ97692891064602,MT940
8390568645,08-03-2025,USD,10312.15,CREDIT,"Myers, Drake and Hansen",GB07CSBC80110623698063,HDFC Bank,GB03GUVF35867417479587,MT940
3687782285,08-03-2025,EUR,3450.31,CREDIT,Reed-Palmer,GB83JDXH91046092032077,Syndicate Bank,GB09KMKF65386519665147,MT940
2918151164,19-02-2025,JPY,25344.16,CREDIT,Gates Ltd,GB58EYFB30119956498092,ICICI Bank,GB56TQCN99149535184771,MT940
8583647884,07-03-2025,GBP,28376.35,DEBIT,Davis-Robinson,GB63PUGF53815664469875,Syndicate Bank,GB65XFRC80671143633471,MT940
7498695559,12-03-2025,JPY,19838.25,DEBIT,Curry-Smith,GB20NMMG73578398455058,HDFC Bank,GB73LNIN10747144905276,MT940
9671630246,01-03-2025,GBP,43178.3,CREDIT,Rogers-Wade,GB09DPWU81312762012211,ICICI Bank,GB84NVJU19391853554373,MT940
6817873043,11-03-2025,EUR,34063.89,CREDIT,"Baker, Jackson and Hoover",GB14GQJI65204008968509,ICICI Bank,GB71ANYH77167806649506,MT940
5989459982,18-03-2025,USD,45134.16,DEBIT,Bush Ltd,GB48PEMU12064451140375,HDFC Bank,GB85SEHK75344310842186,MT940
7515614449,13-03-2025,JPY,17951.61,CREDIT,Barber-Nguyen,GB59NVEJ48729930872241,HDFC Bank,GB29SVPX10570518562241,MT940
4684297530,06-03-2025,JPY,35210.69,DEBIT,"Wilson, West and Bright",GB32VUIM19500898208260,Syndicate Bank,GB65NIIG81644054356348,MT940
2523806641,15-03-2025,JPY,15093.11,CREDIT,"Browning, Rodriguez and Gray",GB81CDWZ02403668443828,HDFC Bank,GB59SQFU59771053739244,MT940
6819540826,11-03-2025,GBP,3007.59,DEBIT,Powers PLC,GB43KLSR93645494961063,HDFC Bank,GB10PNJX49886953761189,MT940
7465056062,04-03-2025,INR,33608.53,DEBIT,Stewart-Washington,GB39JMWC98497870356060,ICICI Bank,GB85HVHZ19740483266529,MT940
8376567573,16-03-2025,INR,7073.4,CREDIT,Hudson-Horn,GB32HZCH39659540073539,Syndicate Bank,GB09ROVG63086622249389,MT940
2042136176,22-02-2025,USD,32279.55,CREDIT,Williamson-Carter,GB83XWIS67381213703596,HDFC Bank,GB04XIQW12165943285921,MT940
6802934198,09-03-2025,EUR,45340.9,CREDIT,"Kennedy, Jordan and Frye",GB46HPSA21537213840541,ICICI Bank,GB89XDCX11756391666280,MT940
8594902584,20-02-2025,GBP,24491.65,CREDIT,"Ortega, Moore and Mccullough",GB57DEIA16749036919789,HDFC Bank,GB42IRIA55227574379422,MT940
9069164087,26-02-2025,INR,9861.77,CREDIT,Moore-Rodriguez,GB89EKVB91434704959924,HDFC Bank,GB45GOUJ57324188547865,MT940
7314658188,01-03-2025,USD,15724.04,CREDIT,Zimmerman and Sons,GB65KPFR50850685568766,Syndicate Bank,GB48BRJG77039560742463,MT940
5733663161,28-02-2025,GBP,8575.99,DEBIT,Arnold Ltd,GB18BFEP23886248501675,Syndicate Bank,GB34NTEI80200909753784,MT940
3577006821,11-03-2025,EUR,39235.06,DEBIT,Stephens Inc,GB57VNPP59679095830983,HDFC Bank,GB14BFTN43163345952372,MT940
9377494398,19-02-2025,USD,37176.32,DEBIT,Daniels Ltd,GB64PFIZ53101834143792,HDFC Bank,GB84PRSI81127503353289,MT940
4095990527,26-02-2025,EUR,18414.9,CREDIT,"Anthony, Giles and Russo",GB44DHRR32201060919282,Syndicate Bank,GB03NWKD49133451576259,MT940
7436429017,18-03-2025,JPY,15843.36,DEBIT,Hull and Sons,GB14KWAG87323536504685,HDFC Bank,GB74INSN30097722434178,MT940
1216471773,27-02-2025,JPY,26871.57,DEBIT,Espinoza-Brown,GB27VYEH02496522126234,ICICI Bank,GB28HSCF48216679535861,MT940
3001499611,13-03-2025,JPY,18929.28,DEBIT,Flores and Sons,GB93CAHA17202545322940,Syndicate Bank,GB71VQFA91434183119306,MT940
4744865142,21-02-2025,EUR,38131.55,DEBIT,Norman Ltd,GB28TFOP09102997100167,HDFC Bank,GB38EEOE92644741838129,MT940
4854453296,14-03-2025,EUR,27317.56,DEBIT,"Smith, Acevedo and Carter",GB90OCGE48828259020528,ICICI Bank,GB53LWJT05701743567474,MT940
8343995546,17-03-2025,GBP,39535.11,CREDIT,Pitts-Kelly,GB96MDEP71502976762537,Syndicate Bank,GB31XKCJ61116285091948,MT940
6800520902,25-02-2025,EUR,19136.1,DEBIT,"Ward, Henderson and Romero",GB39OFIO44958861246140,ICICI Bank,GB55FETT97287104853219,MT940
4950082057,14-03-2025,GBP,7535.8,CREDIT,Castillo Group,GB06MFVW16656420789339,ICICI Bank,GB42XDGD99483986979959,MT940
6930603098,19-02-2025,USD,32604.01,DEBIT,Allen Ltd,GB57SBUB74737323232609,ICICI Bank,GB98TDTH39376957655361,MT940
3135687995,27-02-2025,USD,45797.43,CREDIT,Neal-Poole,GB79NYLY80956142513646,ICICI Bank,GB38ZGAA53935628545970,MT940
3286222268,20-02-2025,EUR,48773.7,CREDIT,"Bell, Wilson and Leonard",GB05LLDF29924812974461,ICICI Bank,GB43JXFS44189579895097,MT940
2359748457,04-03-2025,USD,9515.7,DEBIT,"Kelly, Johnson and Atkinson",GB30QPRX97262550504890,HDFC Bank,GB69NRSW86135107349941,MT940
5191956738,24-02-2025,INR,5918.72,CREDIT,"Ball, Christensen and Riggs",GB34YIRP74635371082549,HDFC Bank,GB39IWVO78728867153605,MT940
4673874823,06-03-2025,USD,41938.07,DEBIT,Rodriguez-Heath,GB05XPFQ24328916624635,Syndicate Bank,GB29CVVI11348953498863,MT940
9518831033,18-03-2025,INR,23601.41,DEBIT,Burns-Clark,GB75DKLM83801534104921,ICICI Bank,GB15KTRT62670593626225,MT940
3950895968,19-02-2025,GBP,20787.22,CREDIT,"Cole, Mathis and Brennan",GB75YFJL39628770503711,HDFC Bank,GB21JLLO76068307759595,MT940
7646049303,06-03-2025,EUR,24168.31,DEBIT,Hayes Group,GB62FNWO70530501270297,ICICI Bank,GB83HIQA57645998021465,MT940
5591475112,01-03-2025,GBP,3337.37,CREDIT,Gates PLC,GB19ITEK89154195314052,ICICI Bank,GB87HGXM72506446911896,MT940
1914357749,19-02-2025,JPY,15689.77,DEBIT,"Garcia, Hernandez and White",GB04FUHS69950938625259,Syndicate Bank,GB10AGUU63311000540894,MT940
9834410279,15-03-2025,USD,23256.54,CREDIT,Dixon Ltd,GB35IVJC52713603984801,HDFC Bank,GB68UNCV22032667959739,MT940
1418580082,01-03-2025,EUR,1756.83,CREDIT,Taylor Ltd,GB45CHEH55872618353769,HDFC Bank,GB62OSPD31554221968285,MT940
3331938810,13-03-2025,GBP,36919.12,DEBIT,Mcclain-Chandler,GB63CDOR48736817724732,ICICI Bank,GB32GTIO46957905334851,MT940
7050144008,22-02-2025,EUR,25520.39,CREDIT,Rose Inc,GB32OBDW79285882665161,ICICI Bank,GB20ZJTJ01748727464230,MT940
5823058076,03-03-2025,GBP,37757.42,CREDIT,King Inc,GB17LZUZ40206624495132,Syndicate Bank,GB09EHDU42041591621703,MT940
4221085658,24-02-2025,INR,39399.23,DEBIT,Bolton and Sons,GB23MABQ43575491796343,HDFC Bank,GB10GHTZ18951373921087,MT940
6658049001,16-03-2025,GBP,38505.18,CREDIT,"Gregory, Swanson and Navarro",GB37JLNL32773232371094,Syndicate Bank,GB12EZTQ36557393989258,MT940
9284955550,16-03-2025,USD,42351.15,CREDIT,Peterson-Lawson,GB72ZVCS14918588026148,HDFC Bank,GB38BHSV85689257440935,MT940
2781794548,03-03-2025,JPY,27564.89,CREDIT,"Hernandez, Brown and Dean",GB46NYVB73554187625321,Syndicate Bank,GB13AFHQ48351957605999,MT940
1437412845,17-02-2025,JPY,25767.62,DEBIT,Mckee-Ballard,GB23ZJVR48189705152145,ICICI Bank,GB15IBBA75937360409934,MT940
4548438956,22-02-2025,INR,29147.26,CREDIT,Green-Miller,GB38PYNP97233310037729,HDFC Bank,GB12ZIWN86991842013015,MT940
9136710305,22-02-2025,EUR,45479.56,DEBIT,Moreno-Martinez,GB41DZXA14211643080328,Syndicate Bank,GB63FHJE68037522629496,MT940
4730450126,09-03-2025,INR,36883.99,CREDIT,Middleton Group,GB59FEDH31917785112593,HDFC Bank,GB21PTEF34321321018962,MT940
5272041859,21-02-2025,USD,20934.84,CREDIT,Lawson-Hall,GB44MAXV27249352511213,Syndicate Bank,GB27GSCI89483068451146,MT940
8482079259,24-02-2025,JPY,24705.23,CREDIT,Ramirez-Cox,GB27TPCZ57962525807822,HDFC Bank,GB70EGVE15199492391224,MT940
1829683708,11-03-2025,GBP,31800.64,CREDIT,Fields-Wilson,GB96PSOX87940966539362,Syndicate Bank,GB09JVBA38137621227365,MT940
3704899807,14-03-2025,EUR,3049.05,CREDIT,"Huerta, Herring and Hodge",GB18UBNS89860675664947,HDFC Bank,GB91CXCX30052244388760,MT940
3390979421,24-02-2025,EUR,11336.16,CREDIT,Warner-Lewis,GB79BIHJ78408206115923,Syndicate Bank,GB84UYML92438661369231,MT940
3143892504,25-02-2025,USD,20298.51,CREDIT,David-Morrison,GB28DQIW04520484239635,HDFC Bank,GB18UHVM16644269966909,MT940
5548014592,22-02-2025,USD,48234.68,CREDIT,Foster LLC,GB04ZENZ98842551844052,ICICI Bank,GB58GHSJ54427426567700,MT940
8036256376,22-02-2025,EUR,35961.24,DEBIT,"Willis, Hunt and Watson",GB95RHVU39401768227577,Syndicate Bank,GB05AAWJ56372452554045,MT940
8366813089,20-02-2025,EUR,40909.97,DEBIT,"Underwood, Beck and Arroyo",GB77VVZO63727107387681,HDFC Bank,GB47QVDZ69923651060031,MT940
3119892662,21-02-2025,JPY,27165.02,DEBIT,James-Kim,GB85GDGY27820080078200,ICICI Bank,GB94CFTG64177522274267,MT940
1567550234,20-02-2025,USD,19700.65,CREDIT,Hunt-Evans,GB10RQES12856171119430,Syndicate Bank,GB95OAUM81630037129340,MT940
4308165937,09-03-2025,INR,25483.25,CREDIT,"Bender, Wright and Ramsey",GB74NETS39586107826666,Syndicate Bank,GB34BWKM38839581152600,MT940
1898054317,02-03-2025,JPY,21744.79,DEBIT,Miller Group,GB32LAOK50013987766503,Syndicate Bank,GB93GMAA60970281669286,MT940
7062599713,27-02-2025,GBP,30949.82,CREDIT,Jackson-Rojas,GB89LIFA64729169150146,ICICI Bank,GB35LCMN34289579763721,MT940
3260618415,18-03-2025,USD,14938.27,CREDIT,Zimmerman LLC,GB85JVBC54105600879168,ICICI Bank,GB32ZBMQ81856269801029,MT940
2232670811,24-02-2025,EUR,5681.89,CREDIT,Davis Ltd,GB50LKGV00330466454286,HDFC Bank,GB58NSVQ95355343108027,MT940
8400585384,08-03-2025,GBP,27701.83,DEBIT,Wang-Young,GB30FLNE40290377782563,HDFC Bank,GB73IRJT16205662370454,MT940
7601407919,13-03-2025,GBP,13244.33,DEBIT,Hahn-Brown,GB48TAND12134808062038,ICICI Bank,GB28FQOY36126486058984,MT940
1656637618,17-03-2025,USD,30502.71,DEBIT,Carson-Sandoval,GB45NTOQ76369349545321,HDFC Bank,GB17VLAI95620331734769,MT940
1346620168,16-03-2025,JPY,17150.08,CREDIT,Hughes PLC,GB85GVQR59878795014575,Syndicate Bank,GB40VXTM44153649151882,MT940
3982404922,11-03-2025,EUR,22238.67,CREDIT,Hicks Group,GB22HVSG53044158812439,ICICI Bank,GB11KEAZ71294720196020,MT940
