Document_Number,Company_Code,Posting_Date,Value_Date,Currency,Amount,Vendor_Name,Vendor_Account,Vendor_Bank_BIC,Paying_Bank,Paying_Bank_Account,Payment_Method,Payment_Term
5373426189,2000,13-03-2025,22-03-2025,INR,40707.41,Martinez-Hamilton,GB57PCOL74549789591402,KSZHGBQAWID,ICICI Bank,GB23ORUG00458755524443,RTGS,Z004
6618764602,2000,14-03-2025,28-03-2025,JPY,48277.06,Ryan Inc,GB63XMZL77776802636985,MDYQGBUSNKU,HDFC Bank,GB35OBYJ87668036062717,Wire Transfer,Z004
7405959189,4000,17-03-2025,28-03-2025,JPY,42386.2,Ford Ltd,GB36JYGZ01404913208798,LPPTGB7O,Syndicate Bank,GB71RBVT08381489729858,RTGS,Z002
5262551692,4000,24-02-2025,23-03-2025,GBP,13222.24,Parrish LLC,GB71KTBH78267726680194,TJETGBRHTJP,HDFC Bank,GB56ZXYT03957841086492,RTGS,Z004
5963038972,2000,18-02-2025,26-03-2025,EUR,33901.29,Fernandez-Bradley,GB02UHTW70645467995183,WOFPGBX7,Syndicate Bank,GB36SKEN48657855233547,Wire Transfer,Z001
7970213302,1000,02-03-2025,23-03-2025,GBP,25172.14,"Johnson, Ferguson and Sims",GB95UUQZ59972417548795,XKYVGBBUMEE,Syndicate Bank,GB45EAPN26104364646947,ACH,Z004
5032195797,4000,25-02-2025,24-03-2025,INR,44197.36,Quinn-Simmons,GB07YEGF85657588898648,WMUHGBZVRAO,Syndicate Bank,GB21SLZZ93635170221623,NEFT,Z002
1638918823,3000,18-03-2025,27-03-2025,INR,48410.28,"Wagner, Schmidt and Bender",GB25CGGU67008654707711,XVCDGBL43NT,Syndicate Bank,GB25SOBQ26609149349591,SWIFT,Z001
6627483985,1000,14-03-2025,26-03-2025,USD,25391.92,Martinez Inc,GB68JHPD06059542302844,UHZDGBWVJO4,Syndicate Bank,GB34TNDN45802719133160,NEFT,Z002
4102119749,2000,27-02-2025,28-03-2025,INR,21127.51,"Farley, Gardner and Torres",GB03WVGS34433820386854,SQNFGB9K,ICICI Bank,GB72GEVK95903170356237,SWIFT,Z001
2562234592,3000,07-03-2025,19-03-2025,USD,26866.74,West-Rowe,GB12DWMG32523717387396,EFXIGBHZPGT,HDFC Bank,GB22DYFH43600778231381,ACH,Z004
